Amount,Date,Manufacturer,Material,Recycled %,SOURCE,Subcontractor,Supplier,Unit
,,NA,,NA,Water,NA,,m3
19.02,2018-12-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0.41,2018-11-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
227.74,2018-11-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
25.3,2018-10-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
206.79,2018-10-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
22.95,2018-09-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
118.64,2018-09-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
10.7,2018-08-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
75.46,2018-08-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
27.93,2018-07-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
80.56,2018-07-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-06-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
24.23,2018-06-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
78.28,2018-06-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-05-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
24.87,2018-05-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
63.64,2018-05-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-04-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
7.97,2018-04-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
34.41,2018-04-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-03-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
6.45,2018-03-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
95.63,2018-03-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-02-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
3.34,2018-02-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
62.5,2018-02-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2018-01-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
6.11,2018-01-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
72,2018-01-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2017-12-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
4.58,2017-12-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
57.17,2017-12-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2017-11-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
4.06,2017-11-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
82.82,2017-11-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2017-10-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
6.75,2017-10-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
79.48,2017-10-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2017-09-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
8.19,2017-09-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
45.42,2017-09-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
0,2017-08-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
6.97,2017-08-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
47.87,2017-08-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
25.52,2017-07-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
7.03,2017-07-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
48.84,2017-07-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
15.49,2017-06-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
6.48,2017-06-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
42.74,2017-06-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
4.52,2017-05-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
5.15,2017-05-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
30.19,2017-05-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
4.96,2017-04-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
0.3,2017-04-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
28.4,2017-04-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
8.03,2017-03-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
1.43,2017-03-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
25.93,2017-03-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
15.75,2017-02-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
0.32,2017-02-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
41.12,2017-02-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
31.17,2017-01-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
2.67,2017-01-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
16.34,2017-01-01 00:00:00,NA,New Welfare Meter,NA,Water,NA,Thames Water,m3
16.35,2016-12-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
1.91,2016-12-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
123.97,2016-12-01 00:00:00,NA,CCB,NA,Water,NA,Thames Water,m3
191.56,2016-12-01 00:00:00,NA,Gantry Welfare Accommodation,NA,Water,NA,Thames Water,m3
27.4,2016-11-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
7.31,2016-11-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
2.03,2016-11-01 00:00:00,NA,CCB,NA,Water,NA,Thames Water,m3
28.12,2016-11-01 00:00:00,NA,Gantry Welfare Accommodation,NA,Water,NA,Thames Water,m3
4.99,2016-10-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
37.72,2016-10-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
0,2016-10-01 00:00:00,NA,CCB,NA,Water,NA,Thames Water,m3
16.21,2016-10-01 00:00:00,NA,Gantry Welfare Accommodation,NA,Water,NA,Thames Water,m3
59.02,2016-09-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
36.93,2016-09-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
100.54,2016-09-01 00:00:00,NA,CCB,NA,Water,NA,Thames Water,m3
13.51,2016-09-01 00:00:00,NA,Gantry Welfare Accommodation,NA,Water,NA,Thames Water,m3
1.02,2016-08-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
151.79,2016-08-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
112.56,2016-08-01 00:00:00,NA,CCB,NA,Water,NA,Thames Water,m3
1.02,2016-07-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
54.64,2016-07-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
0.05,2016-06-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
12.07,2016-06-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
0.52,2016-05-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
20.46,2016-05-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
0.58,2016-04-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
8.5,2016-04-01 00:00:00,NA,Node Demolition,NA,Water,NA,Thames Water,m3
0.01,2016-03-01 00:00:00,NA,Waco/Beach Area,NA,Water,NA,Thames Water,m3
1.472,2018-12-07 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
1.472,2018-12-03 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
1.472,2018-11-21 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
8.62,2018-11-15 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
2.934,2018-11-15 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
12.4,2018-11-15 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,Mace Logistics,St Albans Wood Recycling CIC,Tonnes
1.958,2018-11-13 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
5.692,2018-11-13 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Concrete (17 01 01),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
2.934,2018-11-09 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
1.472,2018-11-08 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
1.472,2018-11-06 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
35.59,2018-11-02 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
1.472,2018-11-01 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
0.01,2018-10-29 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
9.72,2018-10-26 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Soils (17 05 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
1.4,2018-10-25 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,J. Coffey Construction Ltd,St Albans Wood Recycling CIC,Tonnes
11.6,2018-10-25 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,Mace Logistics,St Albans Wood Recycling CIC,Tonnes
21.39,2018-10-23 00:00:00,Recycled Material Supplies Ltd (Sunshine Wharf),Concrete (17 01 01),98,Waste,J. Coffey Construction Ltd,Recycled Material Supplies Ltd,Tonnes
10.695,2018-10-22 00:00:00,Recycled Material Supplies Ltd (Sunshine Wharf),Concrete (17 01 01),98,Waste,J. Coffey Construction Ltd,Recycled Material Supplies Ltd,Tonnes
9.72,2018-10-19 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Soils (17 05 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
9.72,2018-10-18 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Soils (17 05 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
12.85,2018-10-17 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
1.2,2018-10-15 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,J. Coffey Construction Ltd,St Albans Wood Recycling CIC,Tonnes
4.039,2018-10-13 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Inert (17 01 07),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
9.72,2018-10-12 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Soils (17 05 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
0.01,2018-10-11 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
21.39,2018-10-11 00:00:00,Recycled Material Supplies Ltd (Sunshine Wharf),Concrete (17 01 01),100,Waste,J. Coffey Construction Ltd,Recycled Material Supplies Ltd,Tonnes
1.2,2018-10-10 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,J. Coffey Construction Ltd,St Albans Wood Recycling CIC,Tonnes
3.98,2018-10-08 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
1.4,2018-10-08 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,J. Coffey Construction Ltd,St Albans Wood Recycling CIC,Tonnes
3,2018-10-03 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Concrete (17 01 01),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
0.01,2018-10-03 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
0.01,2018-10-02 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
9.3,2018-10-02 00:00:00,Recycled Material Supplies Ltd (Sunshine Wharf),Concrete (17 01 01),100,Waste,J. Coffey Construction Ltd,Recycled Material Supplies Ltd,Tonnes
59.4,2018-10-01 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Soils (17 05 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
9.72,2018-09-28 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Soils (17 05 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
6.6,2018-09-28 00:00:00,RMS (Sunshine Wharf),Inert (17 01 07),98,Waste,J. Coffey Construction Ltd,R.M.S.,Tonnes
9.72,2018-09-27 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Soils (17 05 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
2.6,2018-09-27 00:00:00,Recycled Material Supplies Ltd (Sunshine Wharf),Soils (17 05 04),98,Waste,J. Coffey Construction Ltd,R.M.S.,Tonnes
3.183,2018-09-26 00:00:00,Brewsters Waste Management Ltd,Timber (17 02 01),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
0.286,2018-09-26 00:00:00,Brewsters Waste Management Ltd,Packaging (15 01 06),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
1.306,2018-09-26 00:00:00,Brewsters Waste Management Ltd,Gypsum (17 08 02),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
0.386,2018-09-26 00:00:00,Brewsters Waste Management Ltd,Metals (17 04 07),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
12.495,2018-09-26 00:00:00,Brewsters Waste Management Ltd,Inert (17 01 07),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
0.536,2018-09-26 00:00:00,Brewsters Waste Management Ltd,Plastics (17 02 03),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
9.72,2018-09-26 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Soils (17 05 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
9.72,2018-09-25 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Soils (17 05 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
9.72,2018-09-24 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Soils (17 05 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
0.01,2018-09-19 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
9.3,2018-09-18 00:00:00,RMS (Sunshine Wharf),Concrete (17 01 01),98,Waste,J. Coffey Construction Ltd,R.M.S.,Tonnes
9.3,2018-09-14 00:00:00,RMS (Sunshine Wharf),Concrete (17 01 01),98,Waste,J. Coffey Construction Ltd,R.M.S.,Tonnes
1.96,2018-09-14 00:00:00,Greater London Waste,Gypsum (17 08 02),100,Waste,I&S Construction Ltd,GREATER LONDON WASTE DISPOSAL LTD,Tonnes
2.934,2018-09-11 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
7.752,2018-09-10 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
6.052,2018-09-08 00:00:00,O'Donovan Waste Disposal Ltd (Alperton Lane ),Inert (17 01 07),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
6.6,2018-09-08 00:00:00,Sivyer SE7 8NJ,Inert (17 01 07),100,Waste,J. Coffey Construction Ltd,Sivyer,Tonnes
7.2,2018-09-05 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,Mace Logistics,St Albans Wood Recycling CIC,Tonnes
9.72,2018-09-04 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Soils (17 05 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
6.6,2018-09-04 00:00:00,Recycled Material Supplies Ltd (Sunshine Wharf),Inert (17 01 07),98,Waste,J. Coffey Construction Ltd,R.M.S.,Tonnes
7.2,2018-09-03 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,Mace Logistics,St Albans Wood Recycling CIC,Tonnes
6.052,2018-09-01 00:00:00,O'Donovan Waste Disposal Ltd (Alperton Lane ),Inert (17 01 07),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
2.62,2018-08-30 00:00:00,Greater London Waste,Gypsum (17 08 02),100,Waste,I&S Construction Ltd,GREATER LONDON WASTE DISPOSAL LTD,Tonnes
1.45,2018-08-23 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Timber (17 02 01),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
1,2018-08-22 00:00:00,St Albans Wood Recycling CIC,Mixed (17 09 04),100,Waste,Mace Logistics,St Albans Wood Recycling CIC,Tonnes
3.716,2018-08-16 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
1.916,2018-08-16 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Timber (17 02 01),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
0.817,2018-08-16 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Packaging (15 01 06),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
0.754,2018-08-14 00:00:00,Brewsters Waste Management Ltd,Timber (17 02 01),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
0.457,2018-08-14 00:00:00,Brewsters Waste Management Ltd,Packaging (15 01 06),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
0.348,2018-08-14 00:00:00,Brewsters Waste Management Ltd,Gypsum (17 08 02),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
0.231,2018-08-14 00:00:00,Brewsters Waste Management Ltd,Metals (17 04 07),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
14.143,2018-08-14 00:00:00,Brewsters Waste Management Ltd,Inert (17 01 07),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
0.366,2018-08-14 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
2,2018-08-07 00:00:00,Greater London Waste,Gypsum (17 08 02),100,Waste,I&S Construction Ltd,GREATER LONDON WASTE DISPOSAL LTD,Tonnes
0.438,2018-08-06 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Bricks (17 01 02),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
7.092,2018-08-06 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Concrete (17 01 01),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
5.471,2018-08-06 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Inert (17 01 07),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
5,2018-08-03 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,Mace Logistics,St Albans Wood Recycling CIC,Tonnes
1.958,2018-07-27 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
10.8,2018-07-25 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,Mace Logistics,St Albans Wood Recycling CIC,Tonnes
3.917,2018-07-20 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
1.958,2018-07-19 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
2.48,2018-07-18 00:00:00,Greater London Waste,Gypsum (17 08 02),100,Waste,I&S Construction Ltd,GREATER LONDON WASTE DISPOSAL LTD,Tonnes
32.736,2018-07-11 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
5.875,2018-07-04 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
,2018-06-25 00:00:00,St Albans Wood Recycling CIC,,100,Waste,Mace Logistics,St Albans Wood Recycling CIC,Tonnes
,2018-06-20 00:00:00,Brewsters Waste Management Ltd,,98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
,2018-06-15 00:00:00,Brewsters Waste Management Ltd,,98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
,2018-06-08 00:00:00,Brewsters Waste Management Ltd,,96,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
,2018-06-06 00:00:00,Greater London Waste,,100,Waste,I&S Construction Ltd,GREATER LONDON WASTE DISPOSAL LTD,Tonnes
1.472,2018-06-04 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
1.78,2018-05-25 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),100,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
19.48,2018-05-17 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
4.8,2018-05-15 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,Mace Logistics,St Albans Wood Recycling CIC,Tonnes
2.7,2018-05-14 00:00:00,Greater London Waste,Gypsum (17 08 02),99,Waste,I&S Construction Ltd,GREATER LONDON WASTE DISPOSAL LTD,Tonnes
11.75,2018-05-11 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
1.4,2018-04-27 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,Mace Logistics,St Albans Wood Recycling CIC,Tonnes
3.14,2018-04-24 00:00:00,Greater London Waste,Gypsum (17 08 02),100,Waste,I&S Construction Ltd,GREATER LONDON WASTE DISPOSAL LTD,Tonnes
10.349,2018-04-20 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
3.917,2018-04-12 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
27.418,2018-04-05 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
2.508,2018-03-22 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
3.531,2018-03-16 00:00:00,St Albans Wood Recycling CIC,Timber (17 02 01),100,Waste,J. Coffey Construction Ltd,St Albans Wood Recycling CIC,Tonnes
26.26,2018-03-15 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
3.728,2018-03-09 00:00:00,Greater London Waste,Gypsum (17 08 02),99,Waste,I&S Construction Ltd,GREATER LONDON WASTE DISPOSAL LTD,Tonnes
2.64,2018-03-09 00:00:00,Brewsters Waste Management Ltd,Mixed (17 09 04),98,Waste,Mace Logistics,Brewsters Waste Management Ltd,Tonnes
8.58,2018-02-28 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Timber (17 02 01),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
4.034,2018-02-28 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Plastics (17 02 03),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
0.717,2018-02-28 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Packaging (15 01 06),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
6.885,2018-02-28 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Mixed (17 09 04),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
13.609,2018-02-28 00:00:00,O'Donovan Waste Disposal Ltd (Markfield Road),Inert (17 01 07),100,Waste,J. Coffey Construction Ltd,O'Donovan (Waste Disposal) Ltd,Tonnes
